1745965480.3592901 - {'icao24': 'a23a80', 'callsign': 'N2425M  ', 'origin_country': 'United States', 'time_position': 1745965474, 'last_contact': 1745965474, 'longitude': -117.1159, 'latitude': 32.7948, 'baro_altitude': 365.76, 'on_ground': False, 'velocity': 44.04, 'heading': 37.41, 'vertical_rate': -1.63, 'sensors': None, 'geo_altitude': 327.66, 'squawk': None, 'spi': False, 'position_source': 0}
1745965480.359562 - {'icao24': 'a9d75f', 'callsign': 'N733NC  ', 'origin_country': 'United States', 'time_position': 1745965472, 'last_contact': 1745965473, 'longitude': -117.1293, 'latitude': 32.7952, 'baro_altitude': 304.8, 'on_ground': False, 'velocity': 30.61, 'heading': 294.84, 'vertical_rate': -2.28, 'sensors': None, 'geo_altitude': 289.56, 'squawk': None, 'spi': False, 'position_source': 0}
1745965485.968394 - {'icao24': 'a23a80', 'callsign': 'N2425M  ', 'origin_country': 'United States', 'time_position': 1745965474, 'last_contact': 1745965474, 'longitude': -117.1159, 'latitude': 32.7948, 'baro_altitude': 365.76, 'on_ground': False, 'velocity': 44.04, 'heading': 37.41, 'vertical_rate': -1.63, 'sensors': None, 'geo_altitude': 327.66, 'squawk': None, 'spi': False, 'position_source': 0}
1745965485.968786 - {'icao24': 'a9d75f', 'callsign': 'N733NC  ', 'origin_country': 'United States', 'time_position': 1745965472, 'last_contact': 1745965473, 'longitude': -117.1293, 'latitude': 32.7952, 'baro_altitude': 304.8, 'on_ground': False, 'velocity': 30.61, 'heading': 294.84, 'vertical_rate': -2.28, 'sensors': None, 'geo_altitude': 289.56, 'squawk': None, 'spi': False, 'position_source': 0}
1745965491.460607 - {'icao24': 'ae4fe5', 'callsign': 'SHWK415 ', 'origin_country': 'United States', 'time_position': 1745965484, 'last_contact': 1745965484, 'longitude': -117.2004, 'latitude': 32.6915, 'baro_altitude': 350.52, 'on_ground': False, 'velocity': 34.57, 'heading': 306.53, 'vertical_rate': -9.75, 'sensors': None, 'geo_altitude': 327.66, 'squawk': None, 'spi': False, 'position_source': 0}
1745965491.461608 - {'icao24': 'a23a80', 'callsign': 'N2425M  ', 'origin_country': 'United States', 'time_position': 1745965484, 'last_contact': 1745965484, 'longitude': -117.1143, 'latitude': 32.7984, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 41, 'heading': 17.53, 'vertical_rate': -1.63, 'sensors': None, 'geo_altitude': 320.04, 'squawk': None, 'spi': False, 'position_source': 0}
1745965491.461733 - {'icao24': 'a9d75f', 'callsign': 'N733NC  ', 'origin_country': 'United States', 'time_position': 1745965472, 'last_contact': 1745965479, 'longitude': -117.1293, 'latitude': 32.7952, 'baro_altitude': 304.8, 'on_ground': False, 'velocity': 31.06, 'heading': 296.57, 'vertical_rate': -2.28, 'sensors': None, 'geo_altitude': 289.56, 'squawk': None, 'spi': False, 'position_source': 0}
1745965497.065946 - {'icao24': 'ae4fe5', 'callsign': 'SHWK415 ', 'origin_country': 'United States', 'time_position': 1745965495, 'last_contact': 1745965495, 'longitude': -117.2033, 'latitude': 32.6931, 'baro_altitude': 190.5, 'on_ground': False, 'velocity': 27.18, 'heading': 299.48, 'vertical_rate': -14.63, 'sensors': None, 'geo_altitude': 205.74, 'squawk': None, 'spi': False, 'position_source': 0}
1745965497.0664809 - {'icao24': 'ac2a8e', 'callsign': 'N883SD  ', 'origin_country': 'United States', 'time_position': 1745965491, 'last_contact': 1745965491, 'longitude': -117.1562, 'latitude': 32.7454, 'baro_altitude': 297.18, 'on_ground': False, 'velocity': 32.11, 'heading': 54.78, 'vertical_rate': -1.63, 'sensors': None, 'geo_altitude': 289.56, 'squawk': None, 'spi': False, 'position_source': 0}
1745965502.643423 - {'icao24': 'a23a80', 'callsign': 'N2425M  ', 'origin_country': 'United States', 'time_position': 1745965474, 'last_contact': 1745965474, 'longitude': -117.1159, 'latitude': 32.7948, 'baro_altitude': 365.76, 'on_ground': False, 'velocity': 44.04, 'heading': 37.41, 'vertical_rate': -1.63, 'sensors': None, 'geo_altitude': 327.66, 'squawk': None, 'spi': False, 'position_source': 0}
1745965502.643669 - {'icao24': 'a9d75f', 'callsign': 'N733NC  ', 'origin_country': 'United States', 'time_position': 1745965472, 'last_contact': 1745965473, 'longitude': -117.1293, 'latitude': 32.7952, 'baro_altitude': 304.8, 'on_ground': False, 'velocity': 30.61, 'heading': 294.84, 'vertical_rate': -2.28, 'sensors': None, 'geo_altitude': 289.56, 'squawk': None, 'spi': False, 'position_source': 0}
