1745965519.3992 - {'icao24': 'ab05c3', 'callsign': 'N80906  ', 'origin_country': 'United States', 'time_position': 1745965515, 'last_contact': 1745965515, 'longitude': -117.1432, 'latitude': 32.7953, 'baro_altitude': 457.2, 'on_ground': False, 'velocity': 42.83, 'heading': 114.1, 'vertical_rate': 1.95, 'sensors': None, 'geo_altitude': 449.58, 'squawk': None, 'spi': False, 'position_source': 0}
1745965525.007283 - {'icao24': 'ab05c3', 'callsign': 'N80906  ', 'origin_country': 'United States', 'time_position': 1745965515, 'last_contact': 1745965515, 'longitude': -117.1432, 'latitude': 32.7953, 'baro_altitude': 457.2, 'on_ground': False, 'velocity': 42.83, 'heading': 114.1, 'vertical_rate': 1.95, 'sensors': None, 'geo_altitude': 449.58, 'squawk': None, 'spi': False, 'position_source': 0}
1745965530.6234071 - {'icao24': 'ab05c3', 'callsign': 'N80906  ', 'origin_country': 'United States', 'time_position': 1745965527, 'last_contact': 1745965527, 'longitude': -117.1375, 'latitude': 32.7931, 'baro_altitude': 449.58, 'on_ground': False, 'velocity': 48.16, 'heading': 113.28, 'vertical_rate': 3.9, 'sensors': None, 'geo_altitude': 449.58, 'squawk': None, 'spi': False, 'position_source': 0}
1745965536.1235359 - {'icao24': 'ac4e53', 'callsign': 'N892SA  ', 'origin_country': 'United States', 'time_position': 1745965532, 'last_contact': 1745965534, 'longitude': -117.1492, 'latitude': 32.7354, 'baro_altitude': 304.8, 'on_ground': False, 'velocity': 35.5, 'heading': 0, 'vertical_rate': 2.6, 'sensors': None, 'geo_altitude': 304.8, 'squawk': None, 'spi': False, 'position_source': 0}
1745974677.732325 - {'icao24': 'a42035', 'callsign': 'N365PS  ', 'origin_country': 'United States', 'time_position': 1745974671, 'last_contact': 1745974672, 'longitude': -117.2604, 'latitude': 32.7999, 'baro_altitude': 274.32, 'on_ground': False, 'velocity': 44.19, 'heading': 102.09, 'vertical_rate': 7.15, 'sensors': None, 'geo_altitude': 251.46, 'squawk': '1200', 'spi': False, 'position_source': 0}
1745974677.732703 - {'icao24': 'a3d42b', 'callsign': 'LXJ346  ', 'origin_country': 'United States', 'time_position': 1745974672, 'last_contact': 1745974672, 'longitude': -117.2535, 'latitude': 32.7645, 'baro_altitude': 1676.4, 'on_ground': False, 'velocity': 115.55, 'heading': 307.58, 'vertical_rate': 20.81, 'sensors': None, 'geo_altitude': 1714.5, 'squawk': None, 'spi': False, 'position_source': 0}
1745974683.476318 - {'icao24': 'a3d42b', 'callsign': 'LXJ346  ', 'origin_country': 'United States', 'time_position': 1745974669, 'last_contact': 1745974669, 'longitude': -117.2501, 'latitude': 32.7623, 'baro_altitude': 1600.2, 'on_ground': False, 'velocity': 113.21, 'heading': 308.17, 'vertical_rate': 22.11, 'sensors': None, 'geo_altitude': 1630.68, 'squawk': None, 'spi': False, 'position_source': 0}
1745974689.3786108 - {'icao24': 'a3d42b', 'callsign': 'LXJ346  ', 'origin_country': 'United States', 'time_position': 1745974682, 'last_contact': 1745974682, 'longitude': -117.2631, 'latitude': 32.7705, 'baro_altitude': 1889.76, 'on_ground': False, 'velocity': 119.49, 'heading': 305.54, 'vertical_rate': 22.76, 'sensors': None, 'geo_altitude': 1935.48, 'squawk': None, 'spi': False, 'position_source': 0}
1745974695.034663 - {'icao24': 'a42035', 'callsign': 'N365PS  ', 'origin_country': 'United States', 'time_position': 1745974692, 'last_contact': 1745974692, 'longitude': -117.2504, 'latitude': 32.7973, 'baro_altitude': 304.8, 'on_ground': False, 'velocity': 45.81, 'heading': 102.32, 'vertical_rate': 7.8, 'sensors': None, 'geo_altitude': 297.18, 'squawk': '1200', 'spi': False, 'position_source': 0}
1745974695.035448 - {'icao24': 'a3d42b', 'callsign': 'LXJ346  ', 'origin_country': 'United States', 'time_position': 1745974693, 'last_contact': 1745974693, 'longitude': -117.2752, 'latitude': 32.7774, 'baro_altitude': 2133.6, 'on_ground': False, 'velocity': 123.71, 'heading': 303.29, 'vertical_rate': 21.78, 'sensors': None, 'geo_altitude': 2179.32, 'squawk': None, 'spi': False, 'position_source': 0}
1745974700.6641622 - {'icao24': 'a42035', 'callsign': 'N365PS  ', 'origin_country': 'United States', 'time_position': 1745974692, 'last_contact': 1745974692, 'longitude': -117.2504, 'latitude': 32.7973, 'baro_altitude': 304.8, 'on_ground': False, 'velocity': 45.81, 'heading': 102.32, 'vertical_rate': 7.8, 'sensors': None, 'geo_altitude': 297.18, 'squawk': '1200', 'spi': False, 'position_source': 0}
